Step,Function,Nodes,p,Is isomorphic,Test result,Test execution time,NX execution time
0,dummy_test,10,0.2,False,False,0.0,0.0
0,first_test,10,0.2,False,False,0.0,0.0
0,second_test,10,0.2,False,False,0.0,0.0
0,third_test,10,0.2,False,False,0.0009989738464355469,0.0
1,dummy_test,10,0.2,False,False,0.0,0.0
1,first_test,10,0.2,False,False,0.0,0.0
1,second_test,10,0.2,False,False,0.0,0.0
1,third_test,10,0.2,False,False,0.0,0.0
2,dummy_test,10,0.2,False,False,0.0,0.0
2,first_test,10,0.2,False,False,0.0,0.0
2,second_test,10,0.2,False,False,0.0,0.0
2,third_test,10,0.2,False,False,0.0,0.0
3,dummy_test,10,0.2,False,False,0.0,0.0
3,first_test,10,0.2,False,False,0.0010001659393310547,0.0
3,second_test,10,0.2,False,False,0.0,0.0
3,third_test,10,0.2,False,False,0.0,0.0
4,dummy_test,10,0.2,False,True,0.0,0.0
4,first_test,10,0.2,False,False,0.0,0.0
4,second_test,10,0.2,False,False,0.0,0.0
4,third_test,10,0.2,False,False,0.0,0.0
5,dummy_test,10,0.2,False,False,0.0,0.0009996891021728516
5,first_test,10,0.2,False,False,0.0,0.0009996891021728516
5,second_test,10,0.2,False,False,0.0,0.0009996891021728516
5,third_test,10,0.2,False,False,0.0,0.0009996891021728516
6,dummy_test,10,0.2,False,False,0.0,0.0
6,first_test,10,0.2,False,False,0.0,0.0
6,second_test,10,0.2,False,False,0.0,0.0
6,third_test,10,0.2,False,False,0.0,0.0
7,dummy_test,10,0.2,False,False,0.0,0.0
7,first_test,10,0.2,False,False,0.0,0.0
7,second_test,10,0.2,False,False,0.0,0.0
7,third_test,10,0.2,False,False,0.0009996891021728516,0.0
8,dummy_test,10,0.2,False,True,0.0,0.0
8,first_test,10,0.2,False,True,0.0,0.0
8,second_test,10,0.2,False,True,0.0,0.0
8,third_test,10,0.2,False,True,0.0,0.0
9,dummy_test,10,0.2,False,False,0.0,0.0
9,first_test,10,0.2,False,False,0.0,0.0
9,second_test,10,0.2,False,False,0.0,0.0
9,third_test,10,0.2,False,False,0.0010001659393310547,0.0
0,dummy_test,100,0.2,False,False,0.0010001659393310547,0.0
0,first_test,100,0.2,False,False,0.0029997825622558594,0.0
0,second_test,100,0.2,False,False,0.002000570297241211,0.0
0,third_test,100,0.2,False,False,0.0019996166229248047,0.0
1,dummy_test,100,0.2,False,False,0.0010006427764892578,0.0
1,first_test,100,0.2,False,False,0.0019989013671875,0.0
1,second_test,100,0.2,False,False,0.0019996166229248047,0.0
1,third_test,100,0.2,False,False,0.0030002593994140625,0.0
2,dummy_test,100,0.2,False,False,0.002000093460083008,0.0
2,first_test,100,0.2,False,False,0.0019991397857666016,0.0
2,second_test,100,0.2,False,False,0.0010004043579101562,0.0
2,third_test,100,0.2,False,False,0.0029997825622558594,0.0
0,dummy_test,1000,0.2,False,False,0.1615598201751709,0.0029752254486083984
0,first_test,1000,0.2,False,False,0.18987584114074707,0.0029752254486083984
0,second_test,1000,0.2,False,False,0.4665958881378174,0.0029752254486083984
0,third_test,1000,0.2,False,False,0.22526121139526367,0.0029752254486083984
0,dummy_test,10,0.4,False,False,0.0,0.0
